;Глубина манометра;Dшт;Руст;Рзаб;Pлин;Руст;Рзаб;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ;КГФ;;;
Глубина манометра;1;-0.937733;0.0739231;0.377361;-0.699791;0.0677496;0.366091;0.316063;0.0574439;0.0800086;0.922084;-0.874276;0.201513;0.250484;-0.890458;-0.789768;0.181783;0.247594;-0.794804;0.186204;0.253159;0.27724;-0.513507;0.0532553;0.706323;-0.980612;-0.234682;0.980627;-0.924734;
Dшт;-0.937733;1;-0.275304;-0.370607;0.711111;-0.27495;-0.36369;-0.351469;0.417518;0.422307;-0.96315;0.931066;-0.0864058;-0.12811;0.940763;0.883497;-0.0846426;-0.143871;0.873578;0.0555434;0.0660408;-0.0065234;0.624566;-0.0821598;-0.783365;0.963452;0.347904;-0.963383;0.994225;
Руст;0.0739231;-0.275304;1;0.956707;0.0800978;0.999287;0.962127;0.0746627;0.211424;0.0946185;0.472495;-0.0895624;0.131984;0.291441;0.0473211;0.153046;0.0460957;0.286761;0.083162;0.0194286;0.545702;0.279956;0.139328;-0.0910336;-0.0929216;-0.226079;-0.107991;0.226215;0.138339;
Рзаб;0.377361;-0.370607;0.956707;1;-0.212124;0.955532;0.990947;0.207179;0.350239;0.22856;0.437636;-0.318608;0.339059;0.465705;-0.3226;-0.177465;0.215454;0.469348;-0.23805;0.100225;0.649587;0.297627;-0.183481;-0.0630114;0.144573;-0.744225;-0.153405;0.744315;-0.371271;
Pлин;-0.699791;0.711111;0.0800978;-0.212124;1;0.0803762;-0.207944;-0.0480648;-0.0837605;0.288075;-0.691691;0.698267;-0.0945918;-0.122098;0.682399;0.639468;-0.575521;-0.0586487;0.616241;0.0393045;0.0548033;0.0371443;0.469041;0.169921;-0.317074;0.911727;0.265012;-0.911587;0.861983;
Руст;0.0677496;-0.27495;0.999287;0.955532;0.0803762;1;0.962465;0.0795242;0.210637;0.0963207;0.470904;-0.0860141;0.132665;0.28832;0.0475919;0.153829;0.0484972;0.281116;0.0824922;0.0205949;0.540755;0.273341;0.133191;-0.0883686;-0.0903301;-0.209029;-0.111974;0.20917;0.13514;
Рзаб;0.366091;-0.36369;0.962127;0.990947;-0.207944;0.962465;1;0.204123;0.322525;0.21764;0.433671;-0.314165;0.339874;0.465504;-0.316688;-0.170308;0.21674;0.470531;-0.240129;0.0880029;0.650948;0.282919;-0.184784;-0.02058;0.167253;-0.725189;-0.172;0.725273;-0.371361;
Рлин;0.316063;-0.351469;0.0746627;0.207179;-0.0480648;0.0795242;0.204123;1;-0.0891189;0.170054;0.370821;-0.265862;0.0869299;0.202333;-0.314641;-0.265767;0.0103302;0.222742;-0.293088;-0.138652;0.00147084;0.0417938;-0.266495;0.296464;0.3437;-0.616164;-0.125963;0.616719;-0.230571;
Туст;0.0574439;0.417518;0.211424;0.350239;-0.0837605;0.210637;0.322525;-0.0891189;1;0.637711;0.10531;0.559608;0.730166;0.578744;0.152527;0.716167;0.505389;0.512187;0.486342;0.175675;0.231226;-0.0540291;-0.116818;-0.417391;-0.41518;-0.462776;0.194637;0.462947;0.0377174;
Тна шлейфе;0.0800086;0.422307;0.0946185;0.22856;0.288075;0.0963207;0.21764;0.170054;0.637711;1;0.0192759;0.616089;0.675992;0.572744;0.185053;0.663195;0.661275;0.521204;0.42223;0.134672;0.230752;0.0446832;-0.0114794;-0.0693871;-0.0722762;-0.391969;0.309115;0.392101;-0.0241384;
Тзаб;0.922084;-0.96315;0.472495;0.437636;-0.691691;0.470904;0.433671;0.370821;0.10531;0.0192759;1;-0.842074;0.217937;0.262246;-0.869013;-0.763371;0.173986;0.268079;-0.773719;-0.227171;0.186274;0.0323737;-0.608257;0.123751;0.793186;-0.940046;-0.360442;0.940659;-0.971863;
Tлин;-0.874276;0.931066;-0.0895624;-0.318608;0.698267;-0.0860141;-0.314165;-0.265862;0.559608;0.616089;-0.842074;1;-0.0024227;-0.0760747;0.984405;0.964727;-0.0627785;-0.0891031;0.930851;0.00297248;0.062208;-0.0160613;0.560869;-0.0727569;-0.770863;0.89706;0.337835;-0.895256;0.98899;
Дебит газа;0.201513;-0.0864058;0.131984;0.339059;-0.0945918;0.132665;0.339874;0.0869299;0.730166;0.675992;0.217937;-0.0024227;1;0.779067;-0.143726;0.240917;0.615447;0.718496;0.0701039;0.157483;0.370441;0.141684;-0.0588559;-0.00617799;0.0711392;-0.507598;0.0106679;0.508048;-0.145571;
Дебит ст. конд.;0.250484;-0.12811;0.291441;0.465705;-0.122098;0.28832;0.465504;0.202333;0.578744;0.572744;0.262246;-0.0760747;0.779067;1;-0.167752;0.134849;0.518003;0.928543;0.0647039;-0.0878648;0.451706;0.135462;-0.147085;0.0520332;0.134961;-0.552798;0.0079908;0.552829;-0.188851;
Дебит воды;-0.890458;0.940763;0.0473211;-0.3226;0.682399;0.047592;-0.316688;-0.314641;0.152527;0.185053;-0.869013;0.984405;-0.143726;-0.167752;1;0.92764;-0.122308;-0.172516;0.927189;-0.0675255;0.00911949;-0.0889116;0.578357;-0.0958013;-0.805253;0.910682;0.339237;-0.908997;0.999202;
Дебит смеси;-0.789768;0.883497;0.153046;-0.177465;0.639468;0.153829;-0.170308;-0.265767;0.716167;0.663195;-0.763371;0.964727;0.240917;0.134849;0.92764;1;0.103786;0.0989826;0.928866;0.119096;0.36679;0.134209;0.559284;-0.0819602;-0.73895;0.861431;0.343807;-0.859534;0.954478;
Дебит гааз;0.181783;-0.0846426;0.0460957;0.215454;-0.575521;0.0484972;0.21674;0.0103302;0.505389;0.661275;0.173986;-0.0627785;0.615447;0.518003;-0.122308;0.103786;1;0.419135;0.0365464;0.0539587;0.177539;0.0387093;-0.124454;-0.143205;-0.0141125;-0.588398;0.106791;0.588478;-0.21803;
Дебит кон нестабильный;0.247594;-0.143871;0.286761;0.469348;-0.0586487;0.281116;0.470531;0.222742;0.512187;0.521204;0.268079;-0.0891032;0.718496;0.928543;-0.172516;0.0989826;0.419135;1;0.0284287;-0.0467596;0.468789;0.114197;-0.15811;0.094363;0.162271;-0.510471;0.0729727;0.510489;-0.186037;
Дебит воды;-0.794804;0.873578;0.083162;-0.23805;0.616241;0.0824922;-0.240129;-0.293088;0.486342;0.42223;-0.773719;0.930851;0.0701039;0.0647039;0.927189;0.928866;0.0365464;0.0284287;1;-0.139009;0.0509352;-0.20144;0.467697;-0.160632;-0.769457;0.897675;0.353315;-0.895932;0.962358;
Нэф;0.186204;0.0555434;0.0194286;0.100225;0.0393045;0.0205949;0.0880029;-0.138652;0.175675;0.134672;-0.227171;0.00297248;0.157483;-0.0878648;-0.0675255;0.119096;0.0539587;-0.0467596;-0.139009;1;0.185542;0.23227;0.238727;-0.115613;-0.116081;-0.974857;0.0934594;0.974857;-0.309347;
Рпл. Тек (послед точка на КВД);0.253159;0.0660408;0.545702;0.649587;0.0548033;0.540755;0.650948;0.00147084;0.231226;0.230752;0.186274;0.062208;0.370441;0.451706;0.00911951;0.36679;0.177539;0.468789;0.0509352;0.185542;1;0.520427;0.421536;0.100234;0.0969743;-0.906281;0.0972288;0.906207;-0.0451482;
Рпл. Тек (Расчет по КВД);0.27724;-0.0065234;0.279956;0.297627;0.0371443;0.273341;0.282919;0.0417938;-0.0540291;0.0446832;0.0323737;-0.0160613;0.141684;0.135462;-0.0889116;0.134209;0.0387093;0.114197;-0.20144;0.23227;0.520427;1;0.854579;0.0400297;0.0380191;-0.930174;-0.0128483;0.930139;0.0239158;
Рпл. Тек (Карноухов);-0.513507;0.624566;0.139328;-0.183481;0.469041;0.133191;-0.184784;-0.266495;-0.116818;-0.0114794;-0.608257;0.560869;-0.0588559;-0.147085;0.578357;0.559284;-0.124454;-0.15811;0.467697;0.238727;0.421536;0.854579;1;-0.0667647;-0.403262;0.891695;0.266874;-0.891842;0.757274;
Pсб;0.0532553;-0.0821598;-0.0910336;-0.0630114;0.169921;-0.0883686;-0.02058;0.296464;-0.417391;-0.0693871;0.123751;-0.0727569;-0.00617799;0.0520332;-0.0958013;-0.0819602;-0.143205;0.094363;-0.160632;-0.115613;0.100234;0.0400297;-0.0667647;1;0.661716;-0.14251;-0.160966;0.142163;-0.112177;
Pсб;0.706323;-0.783365;-0.0929216;0.144573;-0.317074;-0.0903301;0.167253;0.3437;-0.41518;-0.0722762;0.793186;-0.770863;0.0711392;0.134961;-0.805253;-0.73895;-0.0141126;0.162271;-0.769457;-0.116081;0.0969743;0.0380191;-0.403262;0.661716;1;-0.870089;-0.358682;0.869259;-0.885306;
Ro_g;-0.980612;0.963452;-0.226079;-0.744225;0.911727;-0.209029;-0.725189;-0.616164;-0.462776;-0.391969;-0.940046;0.89706;-0.507598;-0.552798;0.910682;0.861431;-0.588398;-0.510471;0.897675;-0.974857;-0.906281;-0.930174;0.891695;-0.14251;-0.870089;1;0.773498;-0.999988;0.938185;
Ro_c;-0.234682;0.347904;-0.107991;-0.153405;0.265012;-0.111974;-0.172;-0.125963;0.194637;0.309115;-0.360442;0.337835;0.0106679;0.0079908;0.339237;0.343807;0.106791;0.0729727;0.353315;0.0934594;0.0972288;-0.0128483;0.266874;-0.160966;-0.358682;0.773498;1;-0.772335;0.34089;
Ro_w;0.980627;-0.963383;0.226215;0.744315;-0.911587;0.20917;0.725273;0.616719;0.462947;0.392101;0.940659;-0.895256;0.508048;0.552829;-0.908997;-0.859534;0.588478;0.510489;-0.895932;0.974857;0.906207;0.930139;-0.891842;0.142163;0.869259;-0.999988;-0.772335;1;-0.937542;
Удельная плотность газа ;-0.924734;0.994225;0.138339;-0.371271;0.861983;0.13514;-0.371361;-0.230571;0.0377174;-0.0241384;-0.971863;0.98899;-0.145571;-0.188851;0.999202;0.954478;-0.21803;-0.186037;0.962358;-0.309347;-0.0451482;0.0239158;0.757274;-0.112177;-0.885306;0.938185;0.34089;-0.937542;1;
